nct_id,sponsor or collaborator,start_date
NCT04571710,"Jiangsu HengRui Medicine Co., Ltd.","November 1, 2020"
NCT04571645,Chimerix,"January 30, 2021"
NCT04571515,Mylan Inc.,"September 29, 2020"
NCT04571489,Lee's Pharmaceutical Limited,"December 1, 2020"
NCT04571424,Biogen,"October 14, 2020"
NCT04571385,Acesion Pharma,"September 9, 2019"
NCT04571216,NFL Biosciences SAS,"January 1, 2020"
NCT04571060,"Biohaven Pharmaceuticals, Inc.","October 27, 2020"
NCT04570657,AstraZeneca,"September 17, 2020"
NCT04570631,AbbVie,"November 5, 2020"
NCT04570423,"Spectrum Pharmaceuticals, Inc",September 2020
NCT04570384,"Asklepion Pharmaceuticals, LLC","October 15, 2020"
NCT04570332,Highlight Therapeutics,"January 15, 2021"
NCT04570267,CSL Behring,"October 8, 2020"
NCT04569994,Novo Nordisk A/S,"September 30, 2020"
NCT04569786,Merck Sharp & Dohme Corp.,"October 29, 2020"
NCT04569695,"Janssen Research & Development, LLC","December 14, 2020"
NCT04569435,"Annexon, Inc.","November 15, 2020"
NCT04569435,Worldwide Clinical Trials,"November 15, 2020"
NCT04569409,"Anterogen Co., Ltd.","July 14, 2020"
NCT04569357,Materia Medica Holding,"November 20, 2020"
NCT04569227,Enzychem Lifesciences Corporation,"November 16, 2020"
NCT04569084,"Mitsubishi Tanabe Pharma Development America, Inc.","November 13, 2020"
NCT04569032,Seagen Inc.,"November 12, 2020"
NCT04568902,"Eisai Co., Ltd.","September 30, 2020"
NCT04568902,Eisai Inc.,"September 30, 2020"
NCT04568863,Pharmamel S.L.,"June 20, 2020"
NCT04568863,Hospital Universitario La Paz,"June 20, 2020"
NCT04568863,Instituto de Investigación Hospital Universitario La Paz,"June 20, 2020"
NCT04568603,Merck Sharp & Dohme Corp.,"October 16, 2020"
NCT04568265,Ascentage Pharma Group Inc.,"June 3, 2020"
NCT04567667,Bristol-Myers Squibb,"September 30, 2020"
NCT04567615,Bristol-Myers Squibb,"December 15, 2020"
NCT04567550,Regenxbio Inc.,"November 20, 2020"
NCT04567524,Lyndra Inc.,"August 13, 2020"
NCT04567524,Worldwide Clinical Trials,"August 13, 2020"
NCT04567420,"Criterium, Inc.","December 15, 2020"
NCT04567329,Bausch & Lomb Incorporated,"November 18, 2020"
NCT04567316,Boehringer Ingelheim,"October 19, 2020"
NCT04567303,Hoffmann-La Roche,"October 28, 2020"
NCT04566926,"Janssen Pharmaceutica N.V., Belgium","September 29, 2020"
NCT04566770,CanSino Biologics Inc.,"September 24, 2020"
NCT04566770,Beijing Institute of Biotechnology,"September 24, 2020"
NCT04566770,Jiangsu Province Centers for Disease Control and Prevention,"September 24, 2020"
NCT04566666,Sun Pharmaceutical Industries Limited,"November 15, 2020"
NCT04566601,Boehringer Ingelheim,"November 13, 2020"
NCT04566549,GenMont Biotech Incorporation,"July 6, 2020"
NCT04566549,Chia Nan University of Pharmacy and Science,"July 6, 2020"
NCT04566445,Gyroscope Therapeutics,"November 11, 2020"
NCT04566380,Ono Pharmaceutical Co. Ltd,"September 10, 2020"
NCT04566003,"Genentech, Inc.","October 26, 2020"
NCT04565990,Actelion,"January 22, 2021"
NCT04565717,Alnylam Pharmaceuticals,"October 9, 2020"
NCT04565678,"Agios Pharmaceuticals, Inc.","September 21, 2020"
NCT04565574,"Eisai Co., Ltd.","September 24, 2020"
NCT04565574,Eisai Inc.,"September 24, 2020"
NCT04565379,Shaperon,"September 25, 2020"
NCT04565249,"Pliant Therapeutics, Inc.","October 22, 2020"
NCT04565171,"Sunshine Lake Pharma Co., Ltd.","October 20, 2020"
NCT04565015,Green Cross Corporation,November 2020
NCT04565015,Atlantic Research Group,November 2020
NCT04564872,"Sichuan Haisco Pharmaceutical Group Co., Ltd","November 13, 2020"
NCT04564872,"Haisco Pharmaceutical Group Co., Ltd.","November 13, 2020"
NCT04564846,"Oramed, Ltd.",October 2020
NCT04564833,"Renibus Therapeutics, Inc.","November 23, 2020"
NCT04564742,AstraZeneca,"December 21, 2020"
NCT04564742,Uppsala University,"December 21, 2020"
NCT04564612,Biogen,"September 28, 2020"
NCT04564547,Merck Sharp & Dohme Corp.,"January 25, 2021"
NCT04564456,Respirent Pharmaceuticals Co Ltd.,"September 22, 2020"
NCT04564456,BECRO Ltd.,"September 22, 2020"
NCT04564417,Pierre Fabre Medicament,"September 8, 2020"
NCT04564339,Alexion Pharmaceuticals,December 2020
NCT04564066,argenx,"August 18, 2020"
NCT04564053,Novartis Pharmaceuticals,"September 23, 2020"
NCT04564053,Novartis,"September 23, 2020"
NCT04564027,AstraZeneca,"December 1, 2020"
NCT04563936,Luye Pharma Group Ltd.,"January 6, 2020"
NCT04563845,ViiV Healthcare,"October 21, 2020"
NCT04563702,Vaxart,"September 21, 2020"
NCT04563273,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.","October 21, 2020"
NCT04563026,Durect,October 2020
NCT04563026,CTI Clinical Trial and Consulting Services,October 2020
NCT04562870,Karyopharm Therapeutics Inc,"October 30, 2020"
NCT04562766,Principia Biopharma Inc.,"December 14, 2020"
NCT04562155,Bayer,"October 2, 2020"
NCT04562116,Galderma R&D,"October 12, 2020"
NCT04561752,Zeno Alpha Inc.,"November 2, 2020"
NCT04561258,American Gene Technologies International Inc.,"October 12, 2020"
NCT04561245,"Altimmune, Inc.",November 2020
NCT04561180,"Evergreen Therapeutics, Inc.",December 2020
NCT04561128,Atridia Pty Ltd.,"November 12, 2020"
NCT04561115,Grifols Therapeutics LLC,"October 6, 2020"
NCT04561076,Hengenix Biotech Inc,"December 9, 2020"
NCT04561076,"Sanyou Biopharmaceuticals(Shanghai)Co., Ltd","December 9, 2020"
NCT04561076,"Shanghai ZJ Bio-Tech Co., Ltd","December 9, 2020"
NCT04560998,Novo Nordisk A/S,"October 1, 2020"
NCT04560738,Celgene,"October 8, 2020"
NCT04560569,Frontier Biotechnologies Inc.,"December 25, 2020"
NCT04560166,Y-mAbs Therapeutics,"December 31, 2020"
NCT04559971,Silence Therapeutics plc,"September 3, 2020"
NCT04559568,Eli Lilly and Company,"October 15, 2020"
NCT04559412,"Sorrento Therapeutics, Inc.",December 2020
NCT04558918,Novartis Pharmaceuticals,"December 15, 2020"
NCT04558918,Novartis,"December 15, 2020"
NCT04558021,Imuneks Farma ilac San. Tic. A.S.,"October 8, 2020"
NCT04557735,Alexion Pharmaceuticals,"November 6, 2020"
NCT04557462,Novartis Pharmaceuticals,"February 17, 2021"
NCT04557462,Novartis,"February 17, 2021"
NCT04557449,Pfizer,"October 1, 2020"
NCT04557384,Eli Lilly and Company,"January 18, 2021"
NCT04557332,"Environment and Health Group, Inc.","April 1, 2019"
NCT04557332,Prisma Health,"April 1, 2019"
NCT04557319,AO GENERIUM,"March 10, 2020"
NCT04557306,"CHABiotech CO., Ltd","October 12, 2020"
NCT04557280,Idorsia Pharmaceuticals Ltd.,"November 6, 2020"
NCT04557189,Takeda,"October 20, 2020"
NCT04557163,"Taisho Pharmaceutical Co., Ltd.","October 13, 2020"
NCT04557150,Hoffmann-La Roche,"November 11, 2020"
NCT04557098,"Janssen Research & Development, LLC","September 17, 2020"
NCT04557085,"SK Life Science, Inc.",February 2021
NCT04557059,Janssen-Cilag Ltd.,"November 12, 2020"
NCT04556851,"Sichuan Haisco Pharmaceutical Group Co., Ltd","September 29, 2020"
NCT04556851,"Haisco Pharmaceutical Group Co., Ltd.","September 29, 2020"
NCT04556838,"VivaVision Biotech, Inc","November 1, 2020"
NCT04556773,AstraZeneca,"November 27, 2020"
NCT04556773,"Daiichi Sankyo Company, Limited","November 27, 2020"
NCT04556734,Arena Pharmaceuticals,"August 31, 2020"
NCT04556669,"Hebei Senlang Biotechnology Inc., Ltd.","August 1, 2020"
NCT04556656,Prilenia,"October 16, 2020"
NCT04556539,Jiangxi Qingfeng Pharmaceutical Co. Ltd.,"September 30, 2020"
NCT04556526,Janssen Vaccines & Prevention B.V.,"October 5, 2020"
NCT04556526,Center for Family Health Research (CFHR),"October 5, 2020"
NCT04556526,Coalition for Epidemic Preparedness Innovations (CEPI),"October 5, 2020"
NCT04556526,Emory University,"October 5, 2020"
NCT04556383,"GB004, Inc.","October 19, 2020"
NCT04556383,Gossamer Bio Inc.,"October 19, 2020"
NCT04556292,Jiangxi Qingfeng Pharmaceutical Co. Ltd.,"August 12, 2020"
NCT04555733,"Eisai Co., Ltd.","September 14, 2020"
NCT04555733,Eisai Inc.,"September 14, 2020"
NCT04555486,"Dicerna Pharmaceuticals, Inc.",September 2020
NCT04555304,"Chengdu Kanghong Biotech Co., Ltd.","September 15, 2020"
NCT04555213,Noxopharm Limited,"September 30, 2020"
NCT04555148,Green Cross Corporation,"September 20, 2020"
NCT04555096,"Galera Therapeutics, Inc.","September 9, 2020"
NCT04554966,AbbVie,January 2021
NCT04554940,BioMarin Pharmaceutical,"October 10, 2020"
NCT04554914,Atara Biotherapeutics,November 2020
NCT04554043,"Jiangsu HengRui Medicine Co., Ltd.","September 10, 2020"
NCT04553978,"Hong Kong WD Pharmaceutical Co., Limited","September 18, 2020"
NCT04553692,"IGM Biosciences, Inc.","September 23, 2020"
NCT04553133,Pfizer,"September 16, 2020"
NCT04553068,Evofem Inc.,"October 15, 2020"
NCT04553042,"Janssen Research & Development, LLC","September 14, 2020"
NCT04552899,Hoffmann-La Roche,"January 29, 2021"
NCT04552808,"Sunshine Lake Pharma Co., Ltd.","September 8, 2020"
NCT04552470,Pfizer,"October 26, 2020"
NCT04552197,"Janssen Research & Development, LLC","September 2, 2020"
NCT04552041,Materia Medica Holding,"December 3, 2020"
NCT04551963,BeiGene,"November 15, 2020"
NCT04551924,"Jiangsu HengRui Medicine Co., Ltd.","October 1, 2020"
NCT04551911,"OPKO Health, Inc.","October 26, 2020"
NCT04551898,BeiGene,"October 30, 2020"
NCT04551885,Fate Therapeutics,"September 7, 2020"
NCT04551768,"Bausch Health Americas, Inc.",February 2021
NCT04551352,Hoffmann-La Roche,"October 28, 2020"
NCT04551300,Shanghai Alebund Pharmaceuticals Limited,"October 13, 2020"
NCT04551261,"Sunshine Lake Pharma Co., Ltd.","November 1, 2020"
NCT04551079,Takeda,"September 23, 2020"
NCT04551066,Incyte Corporation,"November 30, 2020"
NCT04551053,Incyte Corporation,"December 31, 2020"
NCT04550949,"Qilu Pharmaceutical Co., Ltd.","April 26, 2019"
NCT04550832,"LegoChem Biosciences, Inc","February 28, 2021"
NCT04550832,Ludwig-Maximilians - University of Munich,"February 28, 2021"
NCT04550832,Radboud University,"February 28, 2021"
NCT04550832,"University of California, San Francisco","February 28, 2021"
NCT04550260,AstraZeneca,"October 19, 2020"
NCT04550195,Bristol-Myers Squibb,"September 14, 2020"
NCT04549480,Pfizer,"September 15, 2020"
NCT04549363,GlaxoSmithKline,"January 15, 2021"
NCT04549168,"Eisai Co., Ltd.","September 20, 2020"
NCT04549168,Eisai Inc.,"September 20, 2020"
NCT04549116,IBSA Institut Biochimique SA,November 2020
NCT04549025,"Jounce Therapeutics, Inc.","October 19, 2020"
NCT04548999,Hoffmann-La Roche,"December 3, 2020"
NCT04548869,Celldex Therapeutics,"November 24, 2020"
NCT04548843,Minovia Therapeutics Ltd.,January 2021
NCT04548700,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.","October 15, 2020"
NCT04548453,"PreTeL, Inc",April 2021
NCT04548427,Chong Kun Dang Pharmaceutical,"August 18, 2020"
NCT04548219,Eli Lilly and Company,"September 11, 2020"
NCT04547894,"Ascletis Pharmaceuticals Co., Ltd.","November 1, 2020"
NCT04547894,Beijing YouAn Hospital,"November 1, 2020"
NCT04547361,Eisai Inc.,"September 8, 2020"
NCT04547205,Akeso,"June 6, 2020"
NCT04547166,Shanghai Henlius Biotech,"September 18, 2020"
NCT04547140,Grifols Therapeutics LLC,December 2020
NCT04547127,"Instituto Grifols, S.A.","April 29, 2020"
NCT04547127,Grifols Therapeutics LLC,"April 29, 2020"
NCT04547101,Akeso,"April 24, 2020"
NCT04547101,"Akeso Pharmaceuticals, Inc.","April 24, 2020"
NCT04546984,"Sunshine Lake Pharma Co., Ltd.","September 14, 2020"
NCT04546789,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany","September 30, 2020"
NCT04546724,Valneva Austria GmbH,"September 17, 2020"
NCT04546633,Novartis Pharmaceuticals,"October 22, 2020"
NCT04546633,European and Developing Countries Clinical Trials Partnership (EDCTP),"October 22, 2020"
NCT04546633,Novartis,"October 22, 2020"
NCT04546425,Pfizer,"September 9, 2020"
NCT04546256,Respirent Pharmaceuticals Co Ltd.,"September 1, 2020"
NCT04546256,BECRO Ltd.,"September 1, 2020"
NCT04546009,Hoffmann-La Roche,"October 9, 2020"
NCT04545944,"Phathom Pharmaceuticals, Inc.","September 15, 2020"
NCT04545580,Bayer,"September 16, 2020"
NCT04545554,Amgen,"January 5, 2021"
NCT04545515,Vertex Pharmaceuticals Incorporated,January 2021
NCT04545385,"Teva Branded Pharmaceutical Products R&D, Inc.","August 26, 2020"
NCT04545385,Teva Pharmaceutical Industries,"August 26, 2020"
NCT04544995,GlaxoSmithKline,"October 6, 2020"
NCT04544956,GlaxoSmithKline,"October 6, 2020"
NCT04544826,"Janssen Research & Development, LLC","October 16, 2020"
NCT04544813,"Janssen Research & Development, LLC","October 13, 2020"
NCT04544748,AO GENERIUM,"July 22, 2020"
NCT04544449,Hoffmann-La Roche,"October 26, 2020"
NCT04544436,Hoffmann-La Roche,"December 15, 2020"
NCT04544410,Spruce Biosciences,"September 29, 2020"
NCT04544319,LG Chem,October 2020
NCT04544293,Savara Inc.,February 2021
NCT04544267,"Sanofi Pasteur, a Sanofi Company","September 15, 2020"
NCT04544267,Sanofi,"September 15, 2020"
NCT04544189,Novartis Pharmaceuticals,"December 31, 2020"
NCT04544189,Novartis,"December 31, 2020"
NCT04543812,Panion & BF Biotech Inc.,"October 14, 2020"
NCT04543617,Hoffmann-La Roche,"September 28, 2020"
NCT04543591,Alexion Pharmaceuticals,"September 16, 2020"
NCT04543409,AstraZeneca,"September 22, 2020"
NCT04543383,"Janssen Research & Development, LLC","July 27, 2020"
NCT04543370,Catabasis Pharmaceuticals,"August 8, 2020"
NCT04543344,Pfizer,"September 17, 2020"
NCT04543305,Prelude Therapeutics,"September 28, 2020"
NCT04543188,Pfizer,"September 25, 2020"
NCT04542499,"Cerevel Therapeutics, LLC","October 27, 2020"
NCT04542447,Natureceuticals Sdn Bhd,"September 1, 2020"
NCT04542434,"First Wave Bio, Inc.","November 1, 2020"
NCT04542252,SymBio Pharmaceuticals,"November 9, 2020"
NCT04541888,Zhaoke (Guangzhou) Ophthalmology Pharmaceutical Ltd.,"September 15, 2020"
NCT04541589,Novartis Pharmaceuticals,"December 18, 2020"
NCT04541589,Novartis,"December 18, 2020"
NCT04541550,"IntegoGen, LLC","November 1, 2020"
NCT04541485,Daewoong Pharmaceutical Co. LTD.,"October 6, 2020"
NCT04541459,Waveguard GmbH,"September 14, 2020"
NCT04541433,AstraZeneca,"September 29, 2020"
NCT04541186,"89bio, Inc.","September 1, 2020"
NCT04541134,"Daewon Pharmaceutical Co., Ltd.","September 30, 2020"
NCT04541082,"Oncoceutics, Inc.","October 26, 2020"
NCT04541082,National Institutes of Health (NIH),"October 26, 2020"
NCT04541043,Calliditas Therapeutics AB,"November 14, 2020"
NCT04541004,ALK-Abelló A/S,September 2020
NCT04541004,Syneos Health,September 2020
NCT04540900,"Krystal Biotech, Inc.",September 2020
NCT04540874,Boehringer Ingelheim,"October 5, 2020"
NCT04540796,"Janssen Research & Development, LLC","November 20, 2020"
NCT04540770,"HuniLife Biotechnology, Inc.",January 2021
NCT04540744,"Janssen Research & Development, LLC","April 1, 2021"
NCT04540627,mAbxience S.A,"July 6, 2020"
NCT04540497,Viela Bio,"October 26, 2020"
NCT04540406,Notitia Biotechnologies Company,"October 1, 2020"
NCT04540406,University of South Florida,"October 1, 2020"
NCT04540406,Rutgers University,"October 1, 2020"
NCT04540211,Hoffmann-La Roche,"November 4, 2020"
NCT04540120,Olatec Therapeutics LLC,"September 25, 2020"
NCT04540120,CTI Clinical Trial and Consulting Services,"September 25, 2020"
NCT04540042,Tetherex Pharmaceuticals Corporation,"August 18, 2020"
NCT04540016,"Sichuan Haisco Pharmaceutical Group Co., Ltd","October 15, 2020"
NCT04540016,The First Affiliated Hospital of Suzhou University,"October 15, 2020"
NCT04540016,"Haisco Pharmaceutical Group Co., Ltd.","October 15, 2020"
NCT04539964,SetPoint Medical Corporation,January 2021
NCT04539938,Seagen Inc.,"November 30, 2020"
NCT04539639,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd","November 26, 2020"
NCT04539548,"Ocular Therapeutix, Inc.","September 4, 2020"
NCT04539483,Heidelberg ImmunoTherapeutics GmbH,"October 8, 2020"
NCT04539470,"Genentech, Inc.","November 19, 2020"
NCT04539340,AO GENERIUM,"February 28, 2020"
NCT04539041,Novartis Pharmaceuticals,"January 19, 2021"
NCT04539041,Novartis,"January 19, 2021"
NCT04538911,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.","October 19, 2020"
NCT04538911,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),"October 19, 2020"
NCT04538911,"Beijing Kangterike Statistical Technology Co., Ltd.","October 19, 2020"
NCT04538794,Celldex Therapeutics,"September 24, 2020"
NCT04538664,"Janssen Research & Development, LLC","October 13, 2020"
NCT04538625,"Napo Pharmaceuticals, Inc.","October 7, 2020"
NCT04538066,"Neurotrope Bioscience, Inc.","August 30, 2020"
NCT04538066,National Institutes of Health (NIH),"August 30, 2020"
NCT04538066,National Institute on Aging (NIA),"August 30, 2020"
NCT04538014,H. Lundbeck A/S,"August 24, 2020"
NCT04537923,Eli Lilly and Company,"October 19, 2020"
NCT04537910,Eli Lilly and Company,"September 2, 2020"
NCT04537897,Boehringer Ingelheim,"October 6, 2020"
NCT04537884,"Unity Biotechnology, Inc.","October 8, 2020"
NCT04537806,Sage Therapeutics,November 2020
NCT04537793,Vertex Pharmaceuticals Incorporated,"November 19, 2020"
NCT04537715,"Epizyme, Inc.","April 23, 2020"
NCT04537442,"Beijing Immunochina Medical Science & Technology Co., Ltd.","September 3, 2020"
NCT04537429,H. Lundbeck A/S,"August 3, 2020"
NCT04537234,"Sanofi Pasteur, a Sanofi Company","November 9, 2020"
NCT04537234,Sanofi,"November 9, 2020"
NCT04536961,Bristol-Myers Squibb,"September 10, 2020"
NCT04536792,"Agios Pharmaceuticals, Inc.","July 10, 2020"
NCT04536688,Regulus Therapeutics Inc.,October 2020
NCT04536415,"Austarpharma, LLC","August 25, 2020"
NCT04536337,Aligos Therapeutics,"October 22, 2020"
NCT04535947,"Silk Technologies, Ltd.","August 14, 2020"
NCT04535752,"Annexon, Inc.","October 1, 2020"
NCT04535752,Nucleus Network Ltd,"October 1, 2020"
NCT04535674,Apogenix AG,"October 9, 2020"
NCT04535544,"Janssen Research & Development, LLC","September 17, 2020"
NCT04535453,Janssen Vaccines & Prevention B.V.,"August 28, 2020"
NCT04535167,Pfizer,"September 9, 2020"
NCT04534842,Synlogic,"August 25, 2020"
NCT04534582,Shanghai Henlius Biotech,"September 20, 2020"
NCT04534205,BioNTech SE,December 2020
NCT04534114,Bayer,"September 4, 2020"
NCT04533581,"Kyowa Kirin Co., Ltd.","September 17, 2020"
NCT04533529,"Janssen Research & Development, LLC","September 16, 2020"
NCT04533464,"Athersys, Inc","November 9, 2020"
NCT04533464,Memorial Hermann Hospital,"November 9, 2020"
NCT04533464,United States Department of Defense,"November 9, 2020"
NCT04533399,Novavax,"August 17, 2020"
NCT04533399,Bill and Melinda Gates Foundation,"August 17, 2020"
NCT04533347,60 Degrees Pharmaceuticals LLC,October 2020
NCT04533347,Peachtree BioResearch Solutions Inc.,October 2020
NCT04533048,"Mabwell (Shanghai) Bioscience Co., Ltd.","August 7, 2020"
NCT04533048,Shanghai Public Health Clinical Center,"August 7, 2020"
NCT04533022,Vicore Pharma AB,September 2020
NCT04533022,Orphan Reach,September 2020
NCT04532931,Shin Poong Pharmaceutical Co. Ltd.,"September 3, 2020"
NCT04532931,Medicines for Malaria Venture,"September 3, 2020"
NCT04532749,"Janssen Research & Development, LLC","September 15, 2020"
NCT04532710,Marinomed Biotech AG,"August 4, 2020"
NCT04532567,Galapagos NV,"August 18, 2020"
NCT04532294,BeiGene,"September 8, 2020"
NCT04532125,argenx,"August 3, 2020"
NCT04531982,ACADIA Pharmaceuticals Inc.,"August 5, 2020"
NCT04531475,"Jiangsu Sinorda Biomedicine Co., Ltd","January 22, 2019"
NCT04531150,Inversago Pharma Inc.,"September 8, 2020"
NCT04530981,Deciphera Pharmaceuticals LLC,November 2020
NCT04530838,Pfizer,"September 16, 2020"
NCT04530643,Shaperon,"June 19, 2020"
NCT04530344,Incyte Corporation,"September 24, 2020"
NCT04530136,Pharming Technologies B.V.,"November 30, 2020"
NCT04530123,Takeda,"April 29, 2021"
NCT04530110,"Teva Branded Pharmaceutical Products R&D, Inc.","September 16, 2020"
NCT04530110,Teva Pharmaceutical Industries,"September 16, 2020"
NCT04530071,"CHABiotech CO., Ltd","August 28, 2020"
NCT04529850,"Galera Therapeutics, Inc.","June 30, 2020"
NCT04529811,"Bausch Health Americas, Inc.","September 24, 2020"
NCT04529499,Dr. Reddy's Laboratories Limited,"August 20, 2020"
NCT04529096,Eli Lilly and Company,"August 25, 2020"
NCT04528836,Navire Pharma Inc.,"November 12, 2020"
NCT04528719,"ModernaTX, Inc.","September 30, 2020"
NCT04528706,"Minoryx Therapeutics, S.L.","September 13, 2019"
NCT04528667,"Sorrento Therapeutics, Inc.",December 2020
NCT04528641,ReiThera Srl,"August 10, 2020"
NCT04528641,Istituto Nazionale per le Malattie Infettive Lazzaro Spallanzani,"August 10, 2020"
NCT04528290,Celgene,"September 17, 2020"
NCT04528082,Amgen,"July 15, 2021"
NCT04527991,"Immunomedics, Inc.","November 16, 2020"
NCT04527718,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",September 2020
NCT04527484,"Jiangsu HengRui Medicine Co., Ltd.","August 20, 2020"
NCT04527471,Verona Pharma Inc,"September 4, 2020"
NCT04527471,Verona Pharma plc,"September 4, 2020"
NCT04527380,Eli Lilly and Company,"January 12, 2021"
NCT04527354,PHARMENTERPRISES LLC,"September 8, 2020"
NCT04527250,"Ascletis Pharmaceuticals Co., Ltd.","September 16, 2020"
NCT04527250,Hunan Provincial People's Hospital,"September 16, 2020"
NCT04527107,Oxurion,"July 31, 2020"
NCT04526990,CanSino Biologics Inc.,"September 15, 2020"
NCT04526990,Beijing Institute of Biotechnology,"September 15, 2020"
NCT04526912,Viela Bio,"August 28, 2020"
NCT04526834,Tessa Therapeutics,November 2020
NCT04526717,Joseah Bio,December 2020
NCT04526665,Genfit,"September 24, 2020"
NCT04526574,Pfizer,"September 1, 2020"
NCT04526509,GlaxoSmithKline,"October 30, 2020"
NCT04526496,"Sichuan Haisco Pharmaceutical Group Co., Ltd","February 24, 2020"
NCT04526496,"Haisco Pharmaceutical Group Co., Ltd.","February 24, 2020"
NCT04526210,Alexion Pharmaceuticals,August 2020
NCT04526197,Alexion Pharmaceuticals,"July 8, 2020"
NCT04526132,Shijiazhuang Yiling Pharmaceutical Co. Ltd,"September 14, 2020"
NCT04526119,Zeria Pharmaceutical,January 2021
NCT04526106,"Relay Therapeutics, Inc.","September 2, 2020"
NCT04525885,Merck Sharp & Dohme Corp.,"May 17, 2019"
NCT04525859,"Oncovir, Inc.","August 19, 2020"
NCT04525859,Icahn School of Medicine at Mount Sinai,"August 19, 2020"
NCT04525599,"Astellas Pharma Global Development, Inc.","September 22, 2020"
NCT04525599,Affinivax,"September 22, 2020"
NCT04525599,Astellas Pharma Inc,"September 22, 2020"
NCT04525352,Rocket Pharmaceuticals Inc.,October 2020
NCT04525131,CicloMed LLC,"November 25, 2020"
NCT04525079,Celltrion,"July 18, 2020"
NCT04525014,"EpicentRx, Inc.","September 1, 2020"
NCT04525014,Texas Children's Cancer Center,"September 1, 2020"
NCT04524858,"Aclaris Therapeutics, Inc.","October 23, 2020"
NCT04524832,Novo Nordisk A/S,"September 29, 2020"
NCT04524689,Sanofi,"October 26, 2020"
NCT04524611,AbbVie,"September 30, 2020"
NCT04524455,Amgen,"October 2, 2020"
NCT04524403,Corcept Therapeutics,"September 9, 2020"
NCT04524390,"Mirum Pharmaceuticals, Inc.","December 1, 2020"
NCT04524273,Viela Bio,"August 30, 2020"
NCT04524052,Daewoong Pharmaceutical Co. LTD.,August 2020
NCT04524000,Novartis Pharmaceuticals,"November 20, 2020"
NCT04524000,Novartis,"November 20, 2020"
NCT04523727,Keryx Biopharmaceuticals,January 2021
NCT04523285,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","October 26, 2020"
NCT04523272,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","August 25, 2020"
NCT04523220,Bayer,"August 28, 2020"
NCT04523207,"Janssen Research & Development, LLC","August 19, 2020"
NCT04523181,Golden Biotechnology Corporation,"October 8, 2020"
NCT04523142,Novaliq GmbH,January 2021
NCT04523129,Novaliq GmbH,"December 5, 2020"
NCT04522986,"Rohto Pharmaceutical Co., Ltd.",September 2020
NCT04522830,"Beech Tree Labs, Inc.","July 30, 2020"
NCT04522830,Norwich Clinical Research Associates Ltd.,"July 30, 2020"
NCT04522830,Curavit Clinical Research,"July 30, 2020"
NCT04522323,MedImmune LLC,"August 5, 2020"
NCT04522180,"Ionis Pharmaceuticals, Inc.",December 2020
NCT04522167,Bioeq GmbH,"July 21, 2020"
NCT04522089,Adimmune Corporation,"August 24, 2020"
NCT04521738,Sanofi,"April 25, 2019"
NCT04521478,Boehringer Ingelheim,"November 20, 2020"
NCT04521361,Bayer,"November 16, 2020"
NCT04521296,Daewoong Pharmaceutical Co. LTD.,August 2020
NCT04521231,Amgen,"January 4, 2021"
NCT04521192,"Jiangsu HengRui Medicine Co., Ltd.","May 6, 2019"
NCT04521179,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd","December 7, 2020"
NCT04521179,Peking University,"December 7, 2020"
NCT04521114,"CytoDyn, Inc.","October 1, 2020"
NCT04521114,Amarex Clinical Research,"October 1, 2020"
NCT04520945,Meluha Life Sciences SDN BHD,"October 31, 2020"
NCT04520750,"Palvella Therapeutics, Inc.",August 2020
NCT04520607,Samumed LLC,"August 25, 2020"
NCT04520451,Principia Biopharma Inc.,"August 21, 2020"
NCT04520451,Massachusetts General Hospital,"August 21, 2020"
NCT04520412,"Shanghai Greenvalley Pharmaceutical Co., Ltd.","October 27, 2020"
NCT04520386,MetiMedi Pharmaceuticals,October 2020
NCT04519788,"Atossa Genetics, Inc.","August 7, 2020"
NCT04519658,"CinCor Pharma, Inc.","July 1, 2020"
NCT04519567,"Larimar Therapeutics, Inc.","July 31, 2020"
NCT04519567,"Veristat, Inc.","July 31, 2020"
NCT04519567,"Metrum Research Group, LLC","July 31, 2020"
NCT04519437,Regeneron Pharmaceuticals,"July 26, 2020"
NCT04519073,Virometix,"September 7, 2020"
NCT04519073,"Center of Vaccinology, Ghent, Belgium (CEVAC)","September 7, 2020"
NCT04519073,"Expert Clinical Services Organization, Brussels, Belgium (ECSOR)","September 7, 2020"
NCT04518995,Concert Pharmaceuticals,"November 2, 2020"
NCT04518462,"Pacira Pharmaceuticals, Inc","October 20, 2020"
NCT04518306,George Medicines PTY Limited,"January 1, 2021"
NCT04518293,George Medicines PTY Limited,"January 1, 2021"
NCT04518137,Shanghai Antengene Corporation Limited,"January 1, 2021"
NCT04518137,Antengene Corporation,"January 1, 2021"
NCT04518046,Mirati Therapeutics Inc.,"August 11, 2020"
NCT04517877,"Photozig, Inc.","July 15, 2020"
